A,d,I,noise
35.21675908158857,0.15186369210446357,0.13760469585007204,0.07808146206727447
35.117309068822834,0.15196727291470857,0.13872202014937662,0.08852608048734464
35.31364442853776,0.1516919405935598,0.13952787144362186,0.09696842165214567
35.38850809817896,0.15153614690100226,0.13963122101949005,0.09622694560152355
35.109593245515185,0.1515873119889266,0.137488923344616,0.08355730645650124
33.91453981687238,0.15186157465879105,0.13509457843457365,0.0706302058336656
35.48438459192102,0.15165043373499815,0.13925461008704626,0.07844837574299231
35.31744323655239,0.1518538890103557,0.1373263036737998,0.07881730264699675
34.99868808992793,0.15205007808199153,0.14025381672339798,0.0736509213228557
35.65765405715782,0.151721494128152,0.13914145624424692,0.08628093483318494
35.737427094340376,0.15162477991432657,0.1399490010498496,0.08990106210139812
35.146686477507615,0.1519274103601757,0.13754760957807535,0.07872277984055255
35.04573128925087,0.15203620608024007,0.14004386996462584,0.08179330210915761
35.05628859858045,0.15165636733612758,0.14029235989329278,0.07886176092310074
20.631271299611512,0.15600459793725735,0.09036289918526111,0.055775576955960075
35.29815441651457,0.1518537484711735,0.13975510972261757,0.07352727431713765
35.12024737301545,0.15177770811614041,0.1394325781200364,0.07918618028564904
35.26412264978688,0.15158467098890152,0.13906997337759996,0.08679641422409053
35.31603887941446,0.15185753591349646,0.14035161992130463,0.08179826561965617
35.02860256543508,0.15202447341471684,0.139438082528995,0.0751578702644128
35.15301377469074,0.15193775108515672,0.1399625905275316,0.08263715973484319
19.659640823300148,0.15644679068031642,0.08833652400844542,0.05183265318312395
35.19000934825656,0.15187723784116827,0.13988662148183154,0.08046237364252277
19.61555833286928,0.15569183489678404,0.0825529189334129,0.05475833336981034
35.24619302030889,0.1518562003042694,0.13806348457651046,0.07798738362773203
35.13223755139892,0.1519474587706336,0.13831184607016736,0.07622624385379176
35.1183703282178,0.15196623648204674,0.1398695108670662,0.07919104958930828
20.144902964716692,0.15583947629116135,0.08841328243390553,0.04995813352884395
35.111317832749435,0.15188882896786185,0.13959042131138102,0.07873054370967053
35.2201924730112,0.1518491918900012,0.13979658002606987,0.07632288176755911
34.99002629073982,0.15176375393012534,0.139264000970988,0.08276631786304077
34.96402803811854,0.15208822330297103,0.13946206639931394,0.07187967589132646
35.170278470918035,0.15196537469410007,0.1407594269622665,0.07981229341802633
35.585968015449794,0.1516676227071595,0.13892434042179144,0.08229213614309869
35.071244652834935,0.15162151228400636,0.13720116304620839,0.08275694899060285
35.242339314586516,0.1519426733227656,0.14051707349245202,0.07464444049769443
20.977154468110882,0.15550859554934146,0.08901979661546452,0.055098367724669285
34.97091651012103,0.15179113014418846,0.13562702891284678,0.08062716029310643
35.0799618220631,0.1518828764520157,0.14090604368689463,0.07094289817394714
35.30971794887411,0.15170568912938326,0.1399244372659535,0.08609465698200265
21.09121190958649,0.1556079008274938,0.09267839267748479,0.05912490757057286
35.068400451840056,0.15190862983845682,0.13970637822475054,0.08152502277576623
35.42314828987713,0.1515511496440358,0.14000558577378408,0.08362940978019427
21.09660881380672,0.15551887511969809,0.09202418681381955,0.05057120714952537
35.171658243623575,0.15193235644708075,0.1382514059004703,0.09096778298462832
35.06374173382174,0.15163148255243894,0.138768483182247,0.09978764832999103
35.088833032527624,0.15198470676619708,0.13814717107134664,0.07568536486492154
34.30807902001943,0.1516842060981863,0.1354808008697193,0.0773490928059932
35.24997663106761,0.1518914069517073,0.139993772946339,0.07442555107708232
35.13284182650806,0.15198999263552143,0.13834484475347925,0.08234241947917757
